"","X","Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","season","player_id","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs","predator_offense","predator_defense","predator_total","pace_impact"
"206",208,"12T","Kevin Garnett",36,"BOS",0,1,1210,0.001,68,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133,2013,"garneke01",4296,2234,-2.393440278,4.575872212,2.182431933,5.639391574,4.897706439,0.741685135,-2.053596452,4.047815678,1.994219226,-0.248567873
"207",209,"12T","Marc Gasol",28,"MEM",0,1,1210,0.001,80,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197,2013,"gasolma01",6342,3405,0.731020976,4.374109168,5.105130143,13.63509623,11.29743205,2.337664177,0.691299238,4.012850374,4.704149611,-0.559107702
"208",210,"12T","Ty Lawson",25,"DEN",0,1,1210,0.001,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141,2013,"lawsoty01",5519,2749,2.875279624,-1.696313209,1.178966415,5.509985323,4.813092966,0.696892357,2.952736417,-1.089957673,1.862778744,-0.290096464
"209",211,"12T","David Lee",29,"GSW",0,1,1210,0.001,79,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,0.15,2013,"leeda02",5918,2972,0.586489546,0.336101006,0.922590553,5.543378874,5.500801166,0.042577707,0.647862647,0.571172067,1.219034714,-0.442775737
"210",212,"12T","Joakim Noah",27,"CHI",0,1,1210,0.001,66,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,0.145,2013,"noahjo01",5318,2835,-0.9675623,3.967193775,2.999631474,8.249325739,7.619611844,0.629713895,-0.741161179,3.579034068,2.837872889,-0.814445825
"211",213,"1","Kevin Durant",25,"OKC",119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,2014,"duranke01",7947,3937,7.126795864,-0.344671759,6.782124105,19.67229521,16.01043151,3.661863705,6.744789401,-0.22209284,6.522696561,2.148118458
"212",214,"2","LeBron James",29,"MIA",6,891,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,2014,"jamesle01",7021,3665,6.04747012,-0.86615335,5.181316771,15.10110379,10.89070513,4.210398659,6.735017224,-1.01670783,5.718309394,0.595965508
"213",215,"3","Blake Griffin",24,"LAC",0,434,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,2014,"griffbl01",6739,3341,2.997118469,0.382859115,3.379977583,10.53359876,8.744554717,1.78904404,3.392660153,1.244756319,4.637416472,0.307184717
"214",216,"4","Joakim Noah",28,"CHI",0,322,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,2014,"noahjo01",5720,3030,1.184290947,4.533858448,5.718149395,13.04581501,12.46159028,0.58422473,0.908143454,4.824594211,5.732737664,-0.335474041
"215",217,"5","James Harden",24,"HOU",0,85,1250,0.068,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,2014,"hardeja01",6169,3040,6.483479148,-0.090144979,6.393334169,14.4167402,12.6494538,1.767286406,5.806108643,0.41474649,6.220855134,1.123658293
